"date","geography","geography code","Age: Total; measures: Value","Age: Aged 4 years and under; measures: Value","Age: Aged under 1 year; measures: Value","Age: Aged 1 year; measures: Value","Age: Aged 2 years; measures: Value","Age: Aged 3 years; measures: Value","Age: Aged 4 years; measures: Value","Age: Aged 5 to 9 years; measures: Value","Age: Aged 5 years; measures: Value","Age: Aged 6 years; measures: Value","Age: Aged 7 years; measures: Value","Age: Aged 8 years; measures: Value","Age: Aged 9 years; measures: Value","Age: Aged 10 to 15 years; measures: Value","Age: Aged 10 years; measures: Value","Age: Aged 11 years; measures: Value","Age: Aged 12 years; measures: Value","Age: Aged 13 years; measures: Value","Age: Aged 14 years; measures: Value","Age: Aged 15 years; measures: Value","Age: Aged 16 to 19 years; measures: Value","Age: Aged 16 years; measures: Value","Age: Aged 17 years; measures: Value","Age: Aged 18 years; measures: Value","Age: Aged 19 years; measures: Value","Age: Aged 20 to 24 years; measures: Value","Age: Aged 20 years; measures: Value","Age: Aged 21 years; measures: Value","Age: Aged 22 years; measures: Value","Age: Aged 23 years; measures: Value","Age: Aged 24 years; measures: Value","Age: Aged 25 to 34 years; measures: Value","Age: Aged 25 years; measures: Value","Age: Aged 26 years; measures: Value","Age: Aged 27 years; measures: Value","Age: Aged 28 years; measures: Value","Age: Aged 29 years; measures: Value","Age: Aged 30 years; measures: Value","Age: Aged 31 years; measures: Value","Age: Aged 32 years; measures: Value","Age: Aged 33 years; measures: Value","Age: Aged 34 years; measures: Value","Age: Aged 35 to 49 years; measures: Value","Age: Aged 35 years; measures: Value","Age: Aged 36 years; measures: Value","Age: Aged 37 years; measures: Value","Age: Aged 38 years; measures: Value","Age: Aged 39 years; measures: Value","Age: Aged 40 years; measures: Value","Age: Aged 41 years; measures: Value","Age: Aged 42 years; measures: Value","Age: Aged 43 years; measures: Value","Age: Aged 44 years; measures: Value","Age: Aged 45 years; measures: Value","Age: Aged 46 years; measures: Value","Age: Aged 47 years; measures: Value","Age: Aged 48 years; measures: Value","Age: Aged 49 years; measures: Value","Age: Aged 50 to 64 years; measures: Value","Age: Aged 50 years; measures: Value","Age: Aged 51 years; measures: Value","Age: Aged 52 years; measures: Value","Age: Aged 53 years; measures: Value","Age: Aged 54 years; measures: Value","Age: Aged 55 years; measures: Value","Age: Aged 56 years; measures: Value","Age: Aged 57 years; measures: Value","Age: Aged 58 years; measures: Value","Age: Aged 59 years; measures: Value","Age: Aged 60 years; measures: Value","Age: Aged 61 years; measures: Value","Age: Aged 62 years; measures: Value","Age: Aged 63 years; measures: Value","Age: Aged 64 years; measures: Value","Age: Aged 65 to 74 years; measures: Value","Age: Aged 65 years; measures: Value","Age: Aged 66 years; measures: Value","Age: Aged 67 years; measures: Value","Age: Aged 68 years; measures: Value","Age: Aged 69 years; measures: Value","Age: Aged 70 years; measures: Value","Age: Aged 71 years; measures: Value","Age: Aged 72 years; measures: Value","Age: Aged 73 years; measures: Value","Age: Aged 74 years; measures: Value","Age: Aged 75 to 84 years; measures: Value","Age: Aged 75 years; measures: Value","Age: Aged 76 years; measures: Value","Age: Aged 77 years; measures: Value","Age: Aged 78 years; measures: Value","Age: Aged 79 years; measures: Value","Age: Aged 80 years; measures: Value","Age: Aged 81 years; measures: Value","Age: Aged 82 years; measures: Value","Age: Aged 83 years; measures: Value","Age: Aged 84 years; measures: Value","Age: Aged 85 years and over; measures: Value","Age: Aged 85 years; measures: Value","Age: Aged 86 years; measures: Value","Age: Aged 87 years; measures: Value","Age: Aged 88 years; measures: Value","Age: Aged 89 years; measures: Value","Age: Aged 90 years; measures: Value","Age: Aged 91 years; measures: Value","Age: Aged 92 years; measures: Value","Age: Aged 93 years; measures: Value","Age: Aged 94 years; measures: Value","Age: Aged 95 years; measures: Value","Age: Aged 96 years; measures: Value","Age: Aged 97 years; measures: Value","Age: Aged 98 years; measures: Value","Age: Aged 99 years; measures: Value","Age: Aged 100 years and over; measures: Value"
"2021","North East","E12000001",2647015,134302,24771,25842,26943,27736,29010,150475,29435,28896,29818,31000,31326,183275,31707,31142,30665,30805,30071,28885,121224,28940,28311,30128,33845,162926,33427,33481,32497,31645,31876,328709,31061,31455,31994,32571,33653,34010,32848,33233,34196,33688,474585,33891,33100,32264,32136,32011,32839,32849,30891,27940,27647,29428,29913,30924,32964,35788,550961,36557,35308,36514,36909,38095,38413,39071,38755,38209,37891,36322,35299,35553,34778,33287,300015,31817,30678,30681,29630,28843,28396,28990,29203,31275,30502,174635,22578,23444,20337,18478,16423,15897,15591,15186,14015,12686,65908,11113,9815,8501,7497,6476,5611,4289,3386,2497,2064,1491,1097,703,499,384,485
"2021","North West","E12000002",7417393,407653,76480,80509,82037,82536,86091,445074,87428,86640,88010,91081,91915,539035,91891,91360,90857,90306,87993,86628,344325,86894,84535,84158,88738,453698,88668,89666,91306,90673,93385,982761,91001,92912,95553,96990,100367,103495,100717,100714,102659,98353,1388785,100151,99222,96305,95601,94338,95666,94653,88263,83082,83141,85285,87672,89695,94684,101027,1469750,102695,100786,103593,102536,103911,103450,105577,102707,101852,98921,95486,91146,88140,86587,82363,755479,78290,75712,76577,73539,71831,72721,72957,74687,80655,78510,460007,58109,60178,55530,51598,44407,41559,41727,38755,35931,32213,170826,28910,25176,21431,19006,16552,14218,11363,8958,6798,5536,4010,2938,2018,1385,1032,1495
"2021","Yorkshire and The Humber","E12000003",5480774,298557,55940,58785,60182,60562,63088,326103,63961,63388,64171,66979,67604,395815,67544,67247,67090,66153,64601,63180,259796,63986,63187,63794,68829,347766,68495,71265,70033,69317,68656,718232,67607,68541,69992,71573,73176,74979,72691,72959,74032,72682,1011551,71881,71011,69551,68307,69075,69885,68698,64423,60168,60579,62679,63832,66395,70422,74645,1081967,76467,75113,76717,76345,75962,76124,76562,75076,74295,71847,69691,66606,65486,64515,61161,565158,58731,56251,57284,54784,53659,54192,54739,55511,60697,59310,343614,43474,46344,41062,38091,32157,30342,30950,29095,27259,24840,132215,21991,19369,17124,14798,12552,10871,8835,6962,5402,4162,3081,2257,1666,1139,786,1220
"2021","East Midlands","E12000004",4880056,253198,46880,49579,50664,52007,54068,283318,55342,55107,55487,58037,59345,345493,58951,58145,58402,58621,56221,55153,232106,54819,53961,57736,65590,306418,65625,64210,60864,58021,57698,620300,57204,59242,60035,61447,63238,64837,63842,63361,64614,62480,908666,62751,62406,61122,61246,60508,63024,61356,58246,54507,55130,56835,59029,60387,64307,67812,978780,69493,67725,70164,69421,69756,69757,69905,68119,67270,64980,63092,59802,58575,56649,54072,514685,51879,50800,51645,50014,49480,49317,50883,51002,55495,54170,318275,41226,43684,39867,35944,30094,27768,27580,26408,24144,21560,118817,19374,17115,15051,13162,11459,9838,8011,6460,5008,3934,2897,2157,1510,1018,769,1054
"2021","West Midlands","E12000005",5950764,335390,63168,65849,67390,68082,70901,368300,71609,71343,72922,76138,76288,445739,76134,74885,75507,75185,72707,71321,286164,72638,71167,70051,72308,363419,71798,72702,73188,72690,73041,772940,72130,72798,74425,75370,78280,80896,79915,79392,80758,78976,1113730,78151,77740,76319,75877,75053,77629,76093,71811,67242,67658,68975,71091,72671,76598,80822,1147845,82760,81528,83429,82363,82665,81709,81259,78642,77674,76244,73162,68986,67746,66356,63322,587624,60093,59416,60021,57712,56515,56188,57669,58258,61491,60261,382484,47406,50348,47728,43218,36823,34015,33795,32354,29442,27355,147129,24067,21130,18396,16498,14333,12311,10094,7912,6213,4681,3491,2602,1799,1350,922,1330
"2021","East","E12000006",6335075,349143,64810,68572,70562,71651,73548,380618,75470,74124,74869,77900,78255,457029,78717,77916,77468,76782,74194,71952,271082,71806,71840,65786,61650,342373,61221,64790,70139,72675,73548,812351,73732,75455,77892,79293,81568,84149,84020,85181,86545,84516,1234550,84681,83729,82974,82266,84246,86508,84906,81095,76200,77134,77516,80083,81708,84224,87280,1244805,88909,86457,89152,88672,89642,89669,88890,87072,84635,82231,79515,75153,74223,71892,68693,655206,66160,64660,64302,62730,61370,61957,63559,65143,72075,73250,417825,53602,56190,50540,47121,39109,36041,36838,35280,32947,30157,170093,26948,24088,21026,18738,16580,14468,11695,9485,7425,5686,4324,3107,2213,1633,1088,1589
"2021","London","E12000007",8799723,528953,104232,107140,105690,105260,106631,531496,106765,104130,104212,107669,108720,635291,108796,108171,107533,106965,103977,99849,389537,101944,100378,95561,91654,589185,94517,102988,116421,131954,143305,1594891,150210,154755,158102,160627,162855,165073,164302,163551,160923,154493,1996961,153753,149864,145665,143954,142471,143338,140166,133275,126325,124180,121883,121536,117538,117321,115692,1489993,118353,115639,115755,113410,110636,109739,106933,103125,98730,93088,90757,85123,80571,75837,72297,575478,67890,64024,60627,58194,55608,54804,53584,52820,54433,53494,330329,42142,41568,38406,36308,31241,30100,30759,28972,26474,24359,137609,21961,19536,16974,15227,13108,11469,9672,7616,5878,4520,3502,2656,1936,1314,847,1393
"2021","South East","E12000008",9278063,495302,91706,96385,100143,101912,105156,552246,108090,106790,108258,113408,115700,675937,115756,114474,114058,113808,110897,106944,417102,107508,107066,102339,100189,516468,98322,101876,105643,105818,104809,1149570,104807,106819,108416,111283,114681,119181,119140,121048,123176,121019,1826830,121689,121089,120654,121589,122705,127052,126291,120404,115207,115433,116380,119957,121794,126621,129965,1840349,132075,128428,131428,131682,133488,132352,132671,129522,125644,120904,116874,111027,109395,104955,99904,943822,95884,94199,92752,90289,89148,88715,91276,94063,103581,103915,607059,77687,81074,73974,68017,56935,53168,54459,50970,47401,43374,253378,39217,35254,30954,27858,24665,21564,17316,14245,11128,8968,6613,4887,3547,2587,1880,2695
"2021","South West","E12000009",5701190,274447,50998,53275,55420,56616,58138,311073,60589,60142,61114,63918,65310,379828,65023,64380,63678,63998,62547,60202,253441,60923,61602,63502,67414,332202,67226,67351,67439,65501,64685,688111,64153,65429,66481,67184,68924,71308,71313,71198,72154,69967,1022780,69498,69115,68679,67883,68865,70257,69185,65944,61885,62202,63828,66596,69383,72899,76561,1165677,77982,77762,79537,80061,81874,82906,83089,82121,80325,78417,76499,73296,72739,70746,68323,666674,65281,64872,66090,63788,63744,63390,65806,67246,73423,73034,430630,55139,58424,52600,49035,41116,37579,37892,35577,32850,30418,176327,27011,24601,21372,19428,17052,15049,12166,9934,7847,6170,4644,3504,2517,1809,1362,1861
"2021","Wales","W92000004",3107492,155086,28336,29828,31158,32407,33357,175925,34446,34085,34380,36201,36813,217067,37048,36774,36785,36778,35317,34365,141405,35251,34284,34584,37286,187675,36918,37800,37853,37409,37695,382674,36043,36675,37239,37670,38833,40035,38646,39242,39341,38950,547659,37940,37855,36837,36862,36737,37767,37161,34610,32685,33128,33716,35269,36325,38994,41773,637958,42781,42252,43587,42985,44075,44656,45647,45163,44244,42962,42011,40572,39940,39334,37749,358977,35673,35679,36439,35417,34433,34832,35370,35810,38255,37069,220491,28188,29490,26707,25347,21765,20159,19078,17940,16589,15228,82575,13443,12036,10265,9237,7877,6792,5524,4410,3468,2700,2101,1567,1078,741,536,800
