"date","geography","geography code","Age: Total; measures: Value","Age: Aged 4 years and under; measures: Value","Age: Aged under 1 year; measures: Value","Age: Aged 1 year; measures: Value","Age: Aged 2 years; measures: Value","Age: Aged 3 years; measures: Value","Age: Aged 4 years; measures: Value","Age: Aged 5 to 9 years; measures: Value","Age: Aged 5 years; measures: Value","Age: Aged 6 years; measures: Value","Age: Aged 7 years; measures: Value","Age: Aged 8 years; measures: Value","Age: Aged 9 years; measures: Value","Age: Aged 10 to 15 years; measures: Value","Age: Aged 10 years; measures: Value","Age: Aged 11 years; measures: Value","Age: Aged 12 years; measures: Value","Age: Aged 13 years; measures: Value","Age: Aged 14 years; measures: Value","Age: Aged 15 years; measures: Value","Age: Aged 16 to 19 years; measures: Value","Age: Aged 16 years; measures: Value","Age: Aged 17 years; measures: Value","Age: Aged 18 years; measures: Value","Age: Aged 19 years; measures: Value","Age: Aged 20 to 24 years; measures: Value","Age: Aged 20 years; measures: Value","Age: Aged 21 years; measures: Value","Age: Aged 22 years; measures: Value","Age: Aged 23 years; measures: Value","Age: Aged 24 years; measures: Value","Age: Aged 25 to 34 years; measures: Value","Age: Aged 25 years; measures: Value","Age: Aged 26 years; measures: Value","Age: Aged 27 years; measures: Value","Age: Aged 28 years; measures: Value","Age: Aged 29 years; measures: Value","Age: Aged 30 years; measures: Value","Age: Aged 31 years; measures: Value","Age: Aged 32 years; measures: Value","Age: Aged 33 years; measures: Value","Age: Aged 34 years; measures: Value","Age: Aged 35 to 49 years; measures: Value","Age: Aged 35 years; measures: Value","Age: Aged 36 years; measures: Value","Age: Aged 37 years; measures: Value","Age: Aged 38 years; measures: Value","Age: Aged 39 years; measures: Value","Age: Aged 40 years; measures: Value","Age: Aged 41 years; measures: Value","Age: Aged 42 years; measures: Value","Age: Aged 43 years; measures: Value","Age: Aged 44 years; measures: Value","Age: Aged 45 years; measures: Value","Age: Aged 46 years; measures: Value","Age: Aged 47 years; measures: Value","Age: Aged 48 years; measures: Value","Age: Aged 49 years; measures: Value","Age: Aged 50 to 64 years; measures: Value","Age: Aged 50 years; measures: Value","Age: Aged 51 years; measures: Value","Age: Aged 52 years; measures: Value","Age: Aged 53 years; measures: Value","Age: Aged 54 years; measures: Value","Age: Aged 55 years; measures: Value","Age: Aged 56 years; measures: Value","Age: Aged 57 years; measures: Value","Age: Aged 58 years; measures: Value","Age: Aged 59 years; measures: Value","Age: Aged 60 years; measures: Value","Age: Aged 61 years; measures: Value","Age: Aged 62 years; measures: Value","Age: Aged 63 years; measures: Value","Age: Aged 64 years; measures: Value","Age: Aged 65 to 74 years; measures: Value","Age: Aged 65 years; measures: Value","Age: Aged 66 years; measures: Value","Age: Aged 67 years; measures: Value","Age: Aged 68 years; measures: Value","Age: Aged 69 years; measures: Value","Age: Aged 70 years; measures: Value","Age: Aged 71 years; measures: Value","Age: Aged 72 years; measures: Value","Age: Aged 73 years; measures: Value","Age: Aged 74 years; measures: Value","Age: Aged 75 to 84 years; measures: Value","Age: Aged 75 years; measures: Value","Age: Aged 76 years; measures: Value","Age: Aged 77 years; measures: Value","Age: Aged 78 years; measures: Value","Age: Aged 79 years; measures: Value","Age: Aged 80 years; measures: Value","Age: Aged 81 years; measures: Value","Age: Aged 82 years; measures: Value","Age: Aged 83 years; measures: Value","Age: Aged 84 years; measures: Value","Age: Aged 85 years and over; measures: Value","Age: Aged 85 years; measures: Value","Age: Aged 86 years; measures: Value","Age: Aged 87 years; measures: Value","Age: Aged 88 years; measures: Value","Age: Aged 89 years; measures: Value","Age: Aged 90 years; measures: Value","Age: Aged 91 years; measures: Value","Age: Aged 92 years; measures: Value","Age: Aged 93 years; measures: Value","Age: Aged 94 years; measures: Value","Age: Aged 95 years; measures: Value","Age: Aged 96 years; measures: Value","Age: Aged 97 years; measures: Value","Age: Aged 98 years; measures: Value","Age: Aged 99 years; measures: Value","Age: Aged 100 years and over; measures: Value"
"2021","Darlington","E06000005",107807,5494,1040,1048,1109,1167,1130,6330,1220,1229,1257,1305,1319,7869,1345,1340,1350,1306,1285,1243,4545,1303,1238,1150,854,5426,817,1037,1123,1196,1253,13347,1228,1203,1309,1284,1355,1482,1363,1367,1382,1374,20122,1362,1293,1330,1290,1287,1358,1400,1409,1251,1224,1256,1312,1397,1416,1537,22629,1578,1527,1514,1522,1629,1595,1621,1547,1588,1504,1530,1356,1439,1415,1264,11939,1285,1127,1224,1169,1154,1121,1145,1205,1285,1224,7269,942,995,825,716,672,679,656,678,587,519,2837,460,425,362,313,281,241,178,137,105,104,73,53,20,38,25,22
"2021","County Durham","E06000047",522062,24752,4623,4809,4969,4990,5361,28357,5534,5468,5650,5763,5942,34999,5932,5922,5714,6064,5867,5500,25731,5631,5317,6563,8220,33054,7548,7224,6712,5827,5743,59885,5622,5648,5717,6109,6110,6346,6021,6046,6130,6136,91433,6267,6048,6037,6089,6179,6246,6158,5958,5464,5359,5688,5783,6101,6849,7207,112514,7506,7271,7667,7600,7889,8110,8002,7997,7652,7695,7306,6980,7188,7011,6640,61757,6510,6290,6160,6109,5972,5929,6037,5992,6386,6372,36789,4814,5110,4431,3923,3452,3310,3185,3083,2820,2661,12791,2256,1977,1696,1447,1173,1073,834,633,446,369,284,235,127,92,62,87
"2021","Hartlepool","E06000001",92334,4983,918,954,1046,988,1077,5582,1109,1032,1097,1172,1172,7088,1167,1238,1188,1190,1137,1168,4012,1091,1085,927,909,5110,983,1014,1062,999,1052,11379,1064,1077,1114,1105,1135,1195,1129,1177,1184,1199,15945,1106,1139,1080,1057,1081,1071,1110,999,948,937,1019,944,1058,1141,1255,20003,1309,1253,1308,1351,1357,1436,1450,1433,1411,1400,1384,1264,1277,1186,1184,10331,1121,1053,1010,1043,1020,956,1030,1017,1067,1014,5685,762,719,616,567,558,503,515,495,509,441,2216,378,340,288,268,216,181,130,110,92,62,48,30,19,19,14,21
"2021","Middlesbrough","E06000002",143922,8928,1621,1720,1766,1908,1913,9795,1861,1920,1950,2079,1985,11263,2033,1969,1824,1832,1807,1798,6773,1763,1718,1654,1638,10171,1898,1977,2006,2208,2082,20642,2072,2058,2070,2045,2077,2017,2039,2105,2084,2075,25347,2050,1958,1918,1748,1701,1761,1737,1652,1445,1447,1566,1503,1590,1586,1685,26825,1713,1700,1688,1817,1818,1872,1910,1851,1886,1850,1787,1716,1757,1786,1674,13670,1529,1523,1435,1406,1315,1306,1266,1256,1291,1343,7536,962,938,822,816,762,707,667,658,639,565,2972,518,432,392,335,282,248,217,153,112,82,61,47,38,18,15,22
"2021","Northumberland","E06000057",320565,14235,2575,2631,2905,2985,3139,16686,3231,3191,3280,3550,3434,20800,3607,3455,3480,3469,3398,3391,12287,3333,3364,3032,2558,13906,2430,2623,2781,3006,3066,32860,3021,3128,3180,3181,3414,3351,3279,3356,3511,3439,54495,3470,3554,3421,3398,3565,3545,3817,3528,3190,3337,3489,3715,3778,4144,4544,73747,4530,4378,4603,4784,4919,4982,5308,5135,5091,5259,5022,5020,5065,4882,4769,45559,4704,4485,4641,4370,4384,4349,4452,4481,5015,4678,26405,3491,3684,3236,2968,2433,2342,2248,2153,2014,1836,9585,1587,1457,1161,1080,963,807,611,514,383,316,219,177,114,67,49,80
"2021","Redcar and Cleveland","E06000003",136536,6814,1176,1347,1353,1429,1509,7874,1461,1503,1513,1657,1740,9501,1601,1596,1562,1599,1635,1508,5616,1553,1513,1290,1260,6575,1158,1281,1366,1319,1451,15370,1459,1417,1451,1500,1634,1634,1559,1545,1593,1578,22806,1582,1579,1497,1460,1488,1616,1548,1432,1346,1309,1451,1447,1563,1696,1792,30231,1927,1922,1981,1987,2195,2171,2067,2185,2108,2124,1956,1926,1977,1913,1792,17172,1762,1654,1751,1657,1673,1598,1677,1745,1831,1824,10820,1422,1465,1245,1143,1066,1000,977,936,830,736,3757,656,553,488,410,340,323,256,187,150,129,85,64,48,26,18,24
"2021","Stockton-on-Tees","E06000004",196594,10733,1916,2078,2150,2178,2411,12429,2344,2314,2459,2722,2590,15423,2688,2583,2677,2548,2525,2402,8215,2321,2359,1899,1636,9689,1700,1813,1883,2000,2293,25053,2139,2212,2477,2499,2591,2639,2513,2608,2695,2680,37193,2702,2679,2612,2595,2464,2688,2518,2515,2168,2077,2273,2307,2441,2392,2762,40676,2784,2719,2773,2797,2859,2783,2754,2863,2853,2757,2670,2571,2560,2438,2495,21045,2319,2140,2193,2102,2039,2028,1938,2054,2189,2043,11826,1482,1589,1355,1216,1230,1103,1037,1050,928,836,4312,753,610,535,509,459,408,262,224,144,120,88,55,54,34,29,28
"2021","Gateshead","E08000037",196144,10052,1883,1980,1983,2041,2165,11070,2166,2209,2189,2224,2282,13276,2410,2317,2224,2125,2154,2046,8028,2101,2022,1974,1931,10411,1822,1787,2124,2258,2420,25872,2429,2579,2523,2525,2675,2641,2597,2638,2660,2605,36931,2722,2587,2594,2604,2466,2622,2586,2342,2186,2162,2258,2241,2368,2424,2769,40732,2741,2710,2745,2807,2933,2864,2887,2844,2850,2799,2620,2541,2488,2539,2364,21361,2213,2241,2109,2039,2016,1991,2115,2165,2274,2198,13203,1625,1701,1516,1275,1240,1261,1238,1225,1144,978,5208,858,760,719,625,512,453,333,256,205,165,126,56,43,36,23,38
"2021","Newcastle upon Tyne","E08000021",300131,15651,2973,3061,3128,3231,3258,16704,3390,3213,3346,3355,3400,19321,3472,3302,3293,3258,3080,2916,20439,2941,2971,5306,9221,36645,9323,8751,7112,5950,5509,44637,4947,4895,4627,4493,4429,4313,4333,4062,4429,4109,52598,4080,4051,3793,3897,3773,3721,3660,3387,3142,3033,3224,3281,3021,3170,3365,49618,3488,3232,3303,3369,3370,3466,3581,3487,3398,3428,3159,3262,3141,2998,2936,24463,2686,2599,2582,2459,2349,2241,2335,2297,2436,2479,13836,1733,1813,1594,1454,1269,1236,1347,1238,1132,1020,6219,1027,857,794,678,616,560,391,297,259,216,147,123,80,66,46,62
"2021","North Tyneside","E08000022",208952,10992,1978,2122,2298,2243,2351,11939,2416,2318,2363,2442,2400,14525,2442,2477,2428,2457,2349,2372,7997,2276,2194,1974,1553,9505,1643,1685,1874,2148,2155,26067,2272,2282,2420,2551,2687,2713,2632,2790,2882,2838,41588,2915,2869,2865,2824,2845,2957,3079,2744,2438,2425,2531,2657,2655,2807,2977,43449,3016,2888,2885,2869,2979,2996,3106,3093,3092,2933,2784,2763,2702,2762,2581,23970,2495,2467,2506,2412,2270,2190,2314,2359,2490,2467,13480,1810,1843,1548,1435,1201,1187,1192,1173,1101,990,5440,880,799,673,596,548,455,379,315,243,168,126,104,51,35,33,35
