"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
"2021","North East","E12000001",2622239,2354973,18706,231915,16645
"2021","North West","E12000002",7340917,6604650,42491,633575,60201
"2021","Yorkshire and The Humber","E12000003",5424834,4860781,37085,487855,39113
"2021","East Midlands","E12000004",4833174,4304625,37144,454162,37243
"2021","West Midlands","E12000005",5887589,5313779,29713,498097,46000
"2021","East","E12000006",6270264,5621053,23875,572756,52580
"2021","London","E12000007",8695497,7547990,43831,954144,149532
"2021","South East","E12000008",9186358,8121277,54403,925470,85208
"2021","South West","E12000009",5650188,4980674,41833,585443,42238
"2021","Wales","W92000004",3079158,2786728,19992,256103,16335
