"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
"2021","Darlington","E06000005",106759,96392,177,9672,518
"2021","County Durham","E06000047",517442,462522,5712,46551,2657
"2021","Hartlepool","E06000001",91419,83133,181,7834,271
"2021","Middlesbrough","E06000002",142303,126756,755,12548,2244
"2021","Northumberland","E06000057",317992,291002,468,25539,983
"2021","Redcar and Cleveland","E06000003",135355,125080,148,9796,331
"2021","Stockton-on-Tees","E06000004",194676,177449,286,16088,853
"2021","Gateshead","E08000037",194268,177265,425,15672,906
"2021","Newcastle upon Tyne","E08000021",297152,240278,9539,42598,4737
"2021","North Tyneside","E08000022",206989,190192,288,15707,802
"2021","South Tyneside","E08000023",146322,135692,142,9952,536
"2021","Sunderland","E08000024",271555,249207,585,19957,1806
"2021","Blackburn with Darwen","E06000008",152814,140262,212,11091,1249
"2021","Blackpool","E06000009",139630,126403,180,12146,901
"2021","Cheshire East","E06000049",395124,354252,874,37352,2646
"2021","Cheshire West and Chester","E06000050",353870,319027,1940,30596,2307
"2021","Halton","E06000006",127217,117889,150,8678,500
"2021","Warrington","E06000007",209028,190568,428,16686,1346
"2021","Cumbria","E10000006",495673,452183,999,40177,2314
"2021","Bolton","E08000001",292420,269720,498,19935,2267
"2021","Bury","E08000002",191726,177523,298,12908,997
"2021","Manchester","E08000003",545356,447364,12519,72814,12659
"2021","Oldham","E08000004",239108,222759,277,14576,1496
"2021","Rochdale","E08000005",220985,204136,263,15131,1455
"2021","Salford","E08000006",266379,227662,2561,32266,3890
"2021","Stockport","E08000007",291590,267289,535,22314,1452
"2021","Tameside","E08000008",228544,212108,232,15205,999
"2021","Trafford","E08000009",232669,212379,633,17528,2129
"2021","Wigan","E08000010",325974,300468,360,23839,1307
"2021","Lancashire","E10000017",1223589,1097325,7738,109257,9269
"2021","Knowsley","E08000011",152726,141962,119,10037,608
"2021","Liverpool","E08000012",481074,407929,10464,55467,7214
"2021","Sefton","E08000014",276781,255274,411,19702,1394
